1,Манчестер Юнайтед , Тоттенхэм Хотспур ,1,0,,
21,Саутгемптон , Уотфорд ,-,- ,,
21,Челси , Вест Бромвич Альбион ,-,- ,,
21,Тоттенхэм Хотспур , Лестер Сити ,-,- ,,
22,Сток Сити , Арсенал ,-,- ,,
22,Манчестер Сити , Кристал Пэлас ,-,- ,,
22,Челси , Эвертон ,-,- ,,
22,Астон Вилла , Лестер Сити ,-,- ,,
22,Ливерпуль , Манчестер Юнайтед ,-,- ,,
22,Борнмут , Норвич Сити ,-,- ,,
22,Тоттенхэм Хотспур , Сандерленд ,-,- ,,
22,Суонси Сити , Уотфорд ,-,- ,,
22,Саутгемптон , Вест Бромвич Альбион ,-,- ,,
22,Ньюкасл Юнайтед , Вест Хэм Юнайтед ,-,- ,,
23,Вест Бромвич Альбион , Астон Вилла ,-,- ,,
23,Сандерленд , Борнмут ,-,- ,,
23,Арсенал , Челси ,-,- ,,
23,Норвич Сити , Ливерпуль ,-,- ,,
23,Вест Хэм Юнайтед , Манчестер Сити ,-,- ,,
23,Уотфорд , Ньюкасл Юнайтед ,-,- ,,
23,Манчестер Юнайтед , Саутгемптон ,-,- ,,
23,Лестер Сити , Сток Сити ,-,- ,,
23,Эвертон , Суонси Сити ,-,- ,,
23,Кристал Пэлас , Тоттенхэм Хотспур ,-,- ,,
24,Вест Хэм Юнайтед , Астон Вилла ,-,- ,,
24,Уотфорд , Челси ,-,- ,,
24,Лестер Сити , Ливерпуль ,-,- ,,
24,Сандерленд , Манчестер Сити ,-,- ,,
24,Арсенал , Саутгемптон ,-,- ,,
24,Норвич Сити , Тоттенхэм Хотспур ,-,- ,,
24,Кристал Пэлас , Борнмут ,-,- ,,
24,Манчестер Юнайтед , Сток Сити ,-,- ,,
24,Вест Бромвич Альбион , Суонси Сити ,-,- ,,
24,Эвертон , Ньюкасл Юнайтед ,-,- ,,
25,Борнмут , Арсенал ,-,- ,,
25,Суонси Сити , Кристал Пэлас ,-,- ,,
25,Сток Сити , Эвертон ,-,- ,,
25,Манчестер Сити , Лестер Сити ,-,- ,,
25,Челси , Манчестер Юнайтед ,-,- ,,
25,Астон Вилла , Норвич Сити ,-,- ,,
25,Ливерпуль , Сандерленд ,-,- ,,
25,Тоттенхэм Хотспур , Уотфорд ,-,- ,,
25,Ньюкасл Юнайтед , Вест Бромвич Альбион ,-,- ,,
25,Саутгемптон , Вест Хэм Юнайтед ,-,- ,,
26,Арсенал , Лестер Сити ,-,- ,,
26,Астон Вилла , Ливерпуль ,-,- ,,
26,Сандерленд , Манчестер Юнайтед ,-,- ,,
26,Челси , Ньюкасл Юнайтед ,-,- ,,
26,Суонси Сити , Саутгемптон ,-,- ,,
26,Борнмут , Сток Сити ,-,- ,,
26,Манчестер Сити , Тоттенхэм Хотспур ,-,- ,,
26,Кристал Пэлас , Уотфорд ,-,- ,,
26,Эвертон , Вест Бромвич Альбион ,-,- ,,
26,Норвич Сити , Вест Хэм Юнайтед ,-,- ,,
27,Манчестер Юнайтед , Арсенал ,-,- ,,
27,Сток Сити , Астон Вилла ,-,- ,,
27,Уотфорд , Борнмут ,-,- ,,
27,Саутгемптон , Челси ,-,- ,,
27,Вест Бромвич Альбион , Кристал Пэлас ,-,- ,,
27,Ливерпуль , Эвертон ,-,- ,,
27,Ньюкасл Юнайтед , Манчестер Сити ,-,- ,,
27,Лестер Сити , Норвич Сити ,-,- ,,
27,Вест Хэм Юнайтед , Сандерленд ,-,- ,,
27,Тоттенхэм Хотспур , Суонси Сити ,-,- ,,
28,Норвич Сити , Челси ,-,- ,,
28,Сандерленд , Кристал Пэлас ,-,- ,,
28,Астон Вилла , Эвертон ,-,- ,,
28,Борнмут , Саутгемптон ,-,- ,,
28,Арсенал , Суонси Сити ,-,- ,,
28,Вест Хэм Юнайтед , Тоттенхэм Хотспур ,-,- ,,
28,Лестер Сити , Вест Бромвич Альбион ,-,- ,,
28,Ливерпуль , Манчестер Сити ,-,- ,,
28,Манчестер Юнайтед , Уотфорд ,-,- ,,
28,Сток Сити , Ньюкасл Юнайтед ,-,- ,,
29,Тоттенхэм Хотспур , Арсенал ,-,- ,,
29,Манчестер Сити , Астон Вилла ,-,- ,,
29,Ньюкасл Юнайтед , Борнмут ,-,- ,,
29,Уотфорд , Лестер Сити ,-,- ,,
29,Кристал Пэлас , Ливерпуль ,-,- ,,
29,Вест Бромвич Альбион , Манчестер Юнайтед ,-,- ,,
29,Суонси Сити , Норвич Сити ,-,- ,,
29,Челси , Сток Сити ,-,- ,,
29,Саутгемптон , Сандерленд ,-,- ,,
29,Эвертон , Вест Хэм Юнайтед ,-,- ,,
30,Ливерпуль , Челси ,-,- ,,
30,Манчестер Юнайтед , Кристал Пэлас ,-,- ,,
30,Сандерленд , Эвертон ,-,- ,,
30,Норвич Сити , Манчестер Сити ,-,- ,,
30,Лестер Сити , Ньюкасл Юнайтед ,-,- ,,
30,Сток Сити , Саутгемптон ,-,- ,,
30,Борнмут , Суонси Сити ,-,- ,,
30,Астон Вилла , Тоттенхэм Хотспур ,-,- ,,
30,Вест Хэм Юнайтед , Уотфорд ,-,- ,,
30,Арсенал , Вест Бромвич Альбион ,-,- ,,
31,Эвертон , Арсенал ,-,- ,,
31,Суонси Сити , Астон Вилла ,-,- ,,
31,Тоттенхэм Хотспур , Борнмут ,-,- ,,
31,Кристал Пэлас , Лестер Сити ,-,- ,,
31,Саутгемптон , Ливерпуль ,-,- ,,
31,Манчестер Сити , Манчестер Юнайтед ,-,- ,,
31,Вест Бромвич Альбион , Норвич Сити ,-,- ,,
31,Уотфорд , Сток Сити ,-,- ,,
31,Ньюкасл Юнайтед , Сандерленд ,-,- ,,
31,Челси , Вест Хэм Юнайтед ,-,- ,,
32,Астон Вилла , Челси ,-,- ,,
32,Вест Хэм Юнайтед , Кристал Пэлас ,-,- ,,
32,Манчестер Юнайтед , Эвертон ,-,- ,,
32,Борнмут , Манчестер Сити ,-,- ,,
32,Норвич Сити , Ньюкасл Юнайтед ,-,- ,,
32,Лестер Сити , Саутгемптон ,-,- ,,
32,Сток Сити , Суонси Сити ,-,- ,,
32,Ливерпуль , Тоттенхэм Хотспур ,-,- ,,
32,Арсенал , Уотфорд ,-,- ,,
32,Сандерленд , Вест Бромвич Альбион ,-,- ,,
33,Вест Хэм Юнайтед , Арсенал ,-,- ,,
33,Астон Вилла , Борнмут ,-,- ,,
33,Суонси Сити , Челси ,-,- ,,
33,Уотфорд , Эвертон ,-,- ,,
33,Сандерленд , Лестер Сити ,-,- ,,
33,Тоттенхэм Хотспур , Манчестер Юнайтед ,-,- ,,
33,Саутгемптон , Ньюкасл Юнайтед ,-,- ,,
33,Кристал Пэлас , Норвич Сити ,-,- ,,
33,Ливерпуль , Сток Сити ,-,- ,,
33,Манчестер Сити , Вест Бромвич Альбион ,-,- ,,
34,Манчестер Юнайтед , Астон Вилла ,-,- ,,
34,Арсенал , Кристал Пэлас ,-,- ,,
34,Борнмут , Ливерпуль ,-,- ,,
34,Челси , Манчестер Сити ,-,- ,,
34,Эвертон , Саутгемптон ,-,- ,,
34,Норвич Сити , Сандерленд ,-,- ,,
34,Ньюкасл Юнайтед , Суонси Сити ,-,- ,,
34,Сток Сити , Тоттенхэм Хотспур ,-,- ,,
34,Вест Бромвич Альбион , Уотфорд ,-,- ,,
34,Лестер Сити , Вест Хэм Юнайтед ,-,- ,,
35,Сандерленд , Арсенал ,-,- ,,
35,Борнмут , Челси ,-,- ,,
35,Кристал Пэлас , Эвертон ,-,- ,,
35,Вест Хэм Юнайтед , Манчестер Юнайтед ,-,- ,,
35,Ливерпуль , Ньюкасл Юнайтед ,-,- ,,
35,Астон Вилла , Саутгемптон ,-,- ,,
35,Манчестер Сити , Сток Сити ,-,- ,,
35,Лестер Сити , Суонси Сити ,-,- ,,
35,Норвич Сити , Уотфорд ,-,- ,,
35,Тоттенхэм Хотспур , Вест Бромвич Альбион ,-,- ,,
36,Уотфорд , Астон Вилла ,-,- ,,
36,Эвертон , Борнмут ,-,- ,,
36,Ньюкасл Юнайтед , Кристал Пэлас ,-,- ,,
36,Манчестер Юнайтед , Лестер Сити ,-,- ,,
36,Суонси Сити , Ливерпуль ,-,- ,,
36,Саутгемптон , Манчестер Сити ,-,- ,,
36,Арсенал , Норвич Сити ,-,- ,,
36,Сток Сити , Сандерленд ,-,- ,,
36,Челси , Тоттенхэм Хотспур ,-,- ,,
36,Вест Бромвич Альбион , Вест Хэм Юнайтед ,-,- ,,
37,Манчестер Сити , Арсенал ,-,- ,,
37,Сандерленд , Челси ,-,- ,,
37,Лестер Сити , Эвертон ,-,- ,,
37,Норвич Сити , Манчестер Юнайтед ,-,- ,,
37,Астон Вилла , Ньюкасл Юнайтед ,-,- ,,
37,Тоттенхэм Хотспур , Саутгемптон ,-,- ,,
37,Кристал Пэлас , Сток Сити ,-,- ,,
37,Вест Хэм Юнайтед , Суонси Сити ,-,- ,,
37,Ливерпуль , Уотфорд ,-,- ,,
37,Борнмут , Вест Бромвич Альбион ,-,- ,,
38,Арсенал , Астон Вилла ,-,- ,,
38,Манчестер Юнайтед , Борнмут ,-,- ,,
38,Саутгемптон , Кристал Пэлас ,-,- ,,
38,Челси , Лестер Сити ,-,- ,,
38,Вест Бромвич Альбион , Ливерпуль ,-,- ,,
38,Суонси Сити , Манчестер Сити ,-,- ,,
38,Эвертон , Норвич Сити ,-,- ,,
38,Уотфорд , Сандерленд ,-,- ,,
38,Ньюкасл Юнайтед , Тоттенхэм Хотспур ,-,- ,,
38,Сток Сити , Вест Хэм Юнайтед ,-,- ,,
